"FID","Area_Day_21","Area_Day_21_.MPH.","Area_Day_29","Area_Day_29_.MPH.","Area_Growth","Area_Growth_.MPH.","DTF","LTF","LTF_.MPH.","Perimeter_Day_21_.MPH.","Perimeter_Day_29","Perimeter_Day_29_.MPH.","Perimeter_Growth","Perimeter_Growth_.MPH.","Rosette_Diameter","Rosette_Diameter_.MPH.","Rosette_Dry_Mass_.MPH."
"C397",84.3121,18.3826,57.0348,5.0761,28.5315,2.7265,3.6672,2.6322,0.1787,4.0566,24.5479,1.3567,15.407,1.2922,77.8773,23.7589,0.8995
"C398",81.2994,10.599,53.0606,1.0086,25.8363,0.0301,3.7086,2.6278,0.2289,2.6643,22.6091,0.015,12.3011,-1.0984,65.0376,14.8274,1.0305
"C401",67.5559,-17.788,46.7952,-5.3951,22.9897,-2.8629,3.5694,2.3321,-0.0235,-4.0701,20.9591,-2.1987,11.4011,-2.5652,39.6506,-7.1683,-0.3061
"C402",83.6182,14.5612,57.0372,5.3346,28.588,3.0392,3.5042,2.2852,-0.0226,3.5321,24.5381,1.7205,15.542,1.8685,56.4913,6.6727,0.2226
"C403",71.9749,-2.5742,47.7354,-3.5948,23.1685,-2.3631,3.6326,2.4832,0.0783,-0.4268,21.3511,-0.9589,11.6945,-1.5085,58.9449,7.5402,0.4996
"C404",69.3618,-9.4978,50.0457,-1.6332,25.014,-0.682,3.689,2.7519,0.3403,-2.72,22.9294,-0.3346,14.4497,0.0995,81.0279,14.8197,1.0351
"C405",73.1407,1.7666,50.6365,0.3902,25.1179,0.2297,3.53,2.2128,-0.017,-0.9367,22.6007,0.2329,13.8505,0.5428,39.5642,-7.6515,0.1198
"C406",80.8792,7.2636,53.8117,1.8953,26.5903,0.9938,3.647,2.4786,0.3165,0.6602,23.3899,0.7474,14.2304,1.0694,71.7019,28.7291,0.991
"C407",79.376,16.6388,53.6323,5.7385,26.6266,3.2539,3.6192,2.4894,0.2602,3.313,23.0908,2.1992,13.9436,2.8875,46.7796,19.2258,0.8481
"C408",81.3257,17.4684,51.4119,3.4916,24.8479,1.652,3.6458,2.5072,0.2455,4.1635,22.3562,1.0789,12.0844,0.6681,47.7491,5.8176,0.6422
"C409",72.8015,7.5874,47.9592,1.2089,23.1972,0.4327,3.701,2.6316,0.3902,2.346,21.416,0.4241,11.2889,0.0676,49.0132,7.4582,0.4554
"C410",75.2566,9.4308,47.512,1.2868,22.5704,0.4006,3.6544,2.3781,0.0809,1.5757,20.8736,0.1522,10.2706,-0.4165,55.9934,15.1287,0.3326
"C411",74.1341,6.7042,51.7153,1.8085,25.7594,1.026,3.6458,2.4512,0.1766,1.0385,23.0374,0.8562,14.2319,1.2641,78.3367,27.1584,1.0586
"C412",86.5842,32.9352,57.4324,9.3095,28.606,4.989,3.6432,2.5186,0.2495,7.4433,24.4828,2.8113,15.0418,2.8091,70.9296,25.9674,1.0562
"C413",84.206,23.8468,55.1571,5.195,27.2036,2.5383,3.6998,2.8538,0.4763,5.2666,24.3736,2.1819,15.1564,2.3352,84.0644,28.6474,1.0534
"C414",79.9629,13.9668,49.4894,0.9221,23.5121,-0.1434,3.62,2.4847,0.2676,3.2165,21.4201,-0.1376,10.5537,-1.3626,45.5462,-0.438,0.4763
"C415",78.823,21.6094,49.7259,3.5352,23.8785,1.4157,3.691,2.6427,0.309,4.7134,21.9522,1.4586,11.8566,1.1441,48.9082,8.5254,1.1098
"C417",76.5612,12.6004,50.8833,1.6505,24.9685,0.631,3.5808,2.3987,0.1098,3.21,22.1996,0.7703,12.531,0.5038,51.6522,1.2086,0.1405
"C418",85.0765,27.9336,53.2491,3.6678,25.7824,1.2805,3.6534,2.5068,0.2113,6.8559,24.4096,2.0263,14.9596,1.7852,82.9615,17.7145,1.0061
"C419",76.2401,13.9672,49.9455,1.7967,24.2925,0.5984,3.5234,2.1423,0.0286,2.8959,22.2199,0.7328,12.5921,0.4603,39.6205,-6.634,0.1207
"C420",72.1376,2.614,48.399,0.4492,23.6616,0.2645,3.5478,2.2589,0.1145,-0.1759,21.3051,-0.1171,11.5474,-0.1366,29.7244,1.9259,0.1751
"C421",72.022,2.8852,48.8882,1.1839,24.0263,0.7459,3.5866,2.3506,0.0218,0.1134,21.4618,-0.0687,11.7855,-0.097,53.2755,8.9027,-0.105
"C422",77.012,3.5158,51.7757,1.2746,25.5643,0.7264,3.6052,2.3771,-0.1301,0.953,22.988,-0.0317,13.5117,-0.2994,54.936,-7.9006,-0.4824
"C423",82.4118,18.2418,53.8182,5.7409,26.4923,3.245,3.5924,2.419,-0.1787,3.3817,23.313,1.6026,13.8042,1.7427,66.2812,7.881,-0.4745
"C424",66.8063,-21.6726,50.0883,-3.333,25.2367,-1.3673,3.6218,2.5455,-0.0561,-7.0202,21.5634,-1.7759,13.0949,-1.1957,82.3723,13.1971,-0.1478
"C425",75.2322,3.401,53.0645,1.3056,26.5642,0.7533,3.5616,2.3324,-0.2427,0.514,23.3358,0.1655,14.5,0.1579,62.5273,-6.1863,-0.6709
"C426",75.1023,0.1402,52.7348,0.9206,26.3744,0.6315,3.6524,2.5188,-0.1591,0.6441,23.6206,0.4399,14.7442,0.5486,78.9809,6.0285,-0.1711
"C427",77.751,4.0434,51.2698,0.8504,25.1301,0.3972,3.5826,2.3211,-0.1965,0.7057,22.6788,0.132,13.288,-0.0026,68.7862,5.2664,-0.5379
"C428",77.9351,14.334,52.0791,4.0363,25.6955,2.1552,3.702,2.6864,0.0522,3.1124,22.9456,1.463,13.6654,1.5786,57.0166,-0.9016,-0.1488
"C429",74.8334,-2.3162,50.6601,0.6647,24.984,0.6173,3.6322,2.4639,-0.0436,-0.3005,21.9776,-0.2787,12.3412,-0.3928,68.4242,11.4795,-0.3059
